電影,上映日期,時長（分鐘）,超連結
特技玩家,2024/04/26,,/movie/ffen41684562/
犯罪都市4,2024/04/26,109,/movie/frkr27811040/
挑戰者,2024/05/01,131,/movie/fcen16426418/
帝國浩劫：美國內戰,2024/05/01,,/movie/fcen17279496/
猩球崛起：王國誕生,2024/05/08,,/movie/fken11389872/
芙莉歐莎：瘋狂麥斯傳奇篇章,2024/05/22,,/movie/ffen12037194/
絕地戰警4,2024/06/05,,/movie/fben54919268/
腦筋急轉彎2,2024/06/13,,/movie/fien22022452/
名偵探柯南 100萬美元的五稜星,2024/06/28,,/movie/fdjp31474158/
神偷奶爸4,2024/07/05,,/movie/fden57510222/
飛月情海,2024/07/10,,/movie/ffen41896747/
摩托黑幫,2024/07/12,116,/movie/fben21454134/
龍捲風暴,2024/07/17,,/movie/ften12584954/
死侍與金鋼狼,2024/07/27,,/movie/fden66263850/
邊緣禁地,2024/08/09,,/movie/fben44978420/
異形：羅穆路斯,2024/08/15,,/movie/faen18412256/
獵人克萊文,2024/08/28,,/movie/fken58790086/
惡狼特工,2024/09/28,,/movie/fwen14257582/
小丑：雙重瘋狂,2024/10/02,,/movie/fjen11315808/
荒野機器人,2024/10/10,,/movie/fwen29623480/
海洋奇緣2,2024/11/27,,/movie/fmen13622970/
